Symbol,Sector,Current Price
BIIB34,Healthcare,206.5
BLAK34,Financial Services,49.65
COWC34,Consumer Defensive,73.52
CTSH34,Technology,343.04
CVSH34,Healthcare,35.2
CXRI11,Financial,81.05
DEAI34,Industrials,182.7
FSLR34,Technology,389.61
GILD34,Healthcare,188.97
GOGL34,Communication Services,57.95
GOGL35,Communication Services,58.36
GPSI34,Consumer Cyclical,53.55
MACY34,Consumer Cyclical,58.92
MDTC34,Healthcare,196.6
RIGG34,Energy,38.1
ROST34,Consumer Cyclical,288.47
SCHW34,Financial Services,33.15
SSFO34,Technology,47.26
TMOS34,Healthcare,53.74
TRVC34,Financial Services,25.86
USSX34,Basic Materials,169.23
VLOE34,Energy,331.44
AALR3,Healthcare,9.5
AFLT3,Utilities,7.5
BGIP3,Financial Services,25.86
BNFS11,Financial,120.58
CBOP11,Financial,31.49
CEBR3,Utilities,13.7
CEDO3,Consumer Cyclical,16.01
FIIB11,Financial,517.0
FIVN11,Financial,3.99
FMOF11,Financial,57.66
FNOR11,Financial,0.72
GPAR3,Utilities,44.51
MMXM11,Basic Materials,2.1
PABY11,Real Estate,22.79
PATI4,Basic Materials,32.0
PLRI11,Financial,17.0
PORD11,Real Estate,88.7
RBDS11,Financial,2.6
RPAD3,Industrials,7.55
SCPF11,Financial,4.96
AIGB34,Financial Services,307.83
DUKB34,Utilities,443.0
MOVI3,Industrials,10.98
BPAC11,Financial Services,30.83
PPLA11,Financial Services,3.88
AALL34,Industrials,64.5
GMCO34,Consumer Cyclical,39.95
UPAC34,Industrials,256.1
RNEW3,Utilities,1.21
RNEW4,Utilities,1.23
AZUL4,Industrials,13.25
KNIP11,Financial,92.71
TEND3,Real Estate,12.64
TSLA34,Consumer Cyclical,42.06
CRFB3,Consumer Defensive,8.83
IRBR3,Financial Services,42.23
GGRC11,Financial,114.04
GEPA3,Utilities,23.69
SAPR3,Utilities,4.34
CAML3,Consumer Defensive,7.94
VISC11,Financial,117.44
SUZB3,Basic Materials,55.0
SAPR11,Utilities,22.2
NEOE3,Utilities,17.9
FMXB34,Consumer Defensive,527.81
HONB34,Industrials,923.68
ALZR11,Financial,115.75
DDNB34,Basic Materials,363.96
UBSG34,Financial Services,123.96
TXRX4,Consumer Cyclical,3.07
OUJP11,Financial,98.59
BCIA11,Real Estate,101.44
BOXP34,Real Estate,27.99
GPRO34,Technology,15.62
MSPA3,Basic Materials,46.25
HFOF11,Financial,75.25
RBRF11,Financial,78.57
HAPV3,Financial Services,4.37
GPIV33,Financial Services,2.9
THRA11,Financial,9.800003
TAEE4,Utilities,11.49
RBRR11,Financial,87.56
MGFF11,Financial,67.01
HGRU11,Financial,130.63
ALUP3,Utilities,9.48
ALUP4,Utilities,9.54
LOGG3,Real Estate,19.0
KNHY11,Financial,101.99
FVPQ11,Financial,118.57
CARE11,Real Estate,1.83
TAEE3,Utilities,11.4
VSHO11,Financial,75.82
AZEV3,Industrials,2.37
AHEB3,Consumer Cyclical,18.95
BALM3,Healthcare,10.15
BPAC3,Financial Services,14.23
EALT3,Industrials,7.9
HAGA3,Industrials,2.62
LIPR3,Utilities,70.21
PATI3,Basic Materials,25.15
PEAB3,Financial Services,33.9
BPAC5,Financial Services,8.25
BRGE11,Financial Services,10.46
BRGE12,Financial Services,10.77
BRGE6,Financial Services,11.03
ENMT4,Utilities,65.0
LUXM4,Industrials,19.0
MERC4,Financial Services,7.16
RSUL4,Consumer Cyclical,67.5
PATC11,Financial,73.01
BBDC3,Financial Services,12.6
VILG11,Financial,104.02
MELI34,Consumer Cyclical,53.04
MOAR3,Industrials,388.0
RBVA11,Financial,111.24
